Country Name,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Georgia,..,..,..,..,..,..,..,6.915659904,..,..,..,2.108880043,2.15512991,2.181050062,2.137500048,2.235019922,2.065599918,2.914200068,2.484319925,3.00364995,2.696870089,2.919549942,3.222379923,..,2.576139927,1.906100035,..,..,..
Germany,..,..,..,..,..,..,4.407919884,4.336639881,4.430759907,4.494709969,..,4.461870193,..,..,..,..,..,..,..,4.293960094,4.366799831,4.435949802,4.909510136,4.94367981,4.82487011,4.956580162,4.961110115,4.939620018,4.834980011
Ghana,3.306699991,3.187419891,..,..,..,..,..,..,..,..,..,..,4.110370159,..,5.354440212,..,..,7.535580158,7.42208004,5.259829998,5.519869804,5.757959843,5.317440033,5.540599823,8.14097023,7.919139862,4.60710001,4.491819859,4.510890007
Gibraltar,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,1.834210038,1.868939996,2.015460014,2.046080112,1.934329987,..,..,..,..,..,..,2.892560005,3.027729988,3.230190039,3.364579916,3.424309969,3.429339886,3.667190075,3.963959932,..,..,..,..,..,..,..,..,..,..
Greenland,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Grenada,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.926739931,..,..,..,..,..,..,..,..,..,..,..,..
Guam,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guatemala,..,..,..,..,..,..,1.665750027,1.43998003,1.604799986,1.563699961,..,..,..,..,..,..,..,..,..,2.984009981,3.03873992,3.184540033,..,2.803060055,2.920140028,2.957859993,2.888089895,2.985620022,3.030329943
Guinea,..,..,..,..,2.016390085,2.00632,2.088439941,..,..,..,..,..,2.361419916,2.593400002,2.081909895,2.593869925,2.371020079,2.210000038,1.849060059,..,..,1.581120014,2.207250118,2.551189899,2.287420034,1.833709955,2.63421011,2.422810078,2.517139912
Guinea-Bissau,..,..,..,..,..,..,..,..,..,..,..,..,5.246170044,..,..,..,..,..,..,..,..,..,..,1.860820055,1.857859969,2.001060009,2.13248992,..,..
Guyana,..,..,..,..,..,..,..,3.724450111,3.609339952,..,..,..,8.561059952,8.484149933,8.397299767,8.365539551,6.955900192,5.51293993,8.139730453,5.089250088,3.752619982,..,3.302740097,3.638550043,3.592040062,3.182420015,..,5.847959995,5.214829922
